	Column1	query	text_id	hit_id	left	hit	right	LABEL	AGENCY	DOMAIN	REAL_AGENCY	BENEFICIARY	letter_id	period	year_of_writing	authenticity	relation	author_name	author_gender	author_relation_to_recipient	author_year_of_birth	author_age	recip_name	recip_gender	recip_relation_to_addressee	recip_year_of_birth	recip_age	CORRESPONDENCE	DECADE	Kolom1	query_standardised
5428	28007	almighty	CORNWAL_173	CORNWAL_172.812_812	the Exchecer . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA I humbly beseech God to presarue my poore husband , and bring him hom in saftie to us ; _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA but , Madam , thes 2 munths are mity loung . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA But , good Mother , I beseech you , be you chearly _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and make much of yo=r= selfe ; _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and with thes resaue my humble thanks for our poore sweete babs , whom I most humbly beseech	Almighty	God to bles with His sauing grace . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA Trwly , Madam , I loung to see them and you , and you and them : _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and I hope the Queene 's being with childe , which now begins to bee publeckly spoken of , shall bee noe hindrans to my coming to yo=r= La=pe= , thoe I fear it will be to my stay with you ; _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA for the Queene had gifen me	BODY	PRAYER	SOCIAL	GOD	OH	CORNWAL_172	E2	1634.0	UNKNOWN	FAMILY_NUCLEAR	ELIZABETH_CORNWALLIS	FEMALE	DAUGHTER_IN_LAW	_	_	JANE/BACON[N.MEAUTYS]	FEMALE	MOTHER_IN_LAW	1581	53	CORNWAL	1630	172.0	ALMIGHTY
5430	28009	god	CORNWAL_173	CORNWAL_172.964_964	_@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA for the Queene had gifen me leaue <P_272> to a com to y=r= La=pe= when shee had gon her progres , _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and then I shud a had too munths ore 6 weeks to af staide with you , _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and now I fear I shall be cut shorte of that time . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA Here is much talking of forren wars and armis joyning , yet on sartentie ; _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA but I humbly beseech	God	kepe our Fred from amongst them and all harm . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA My Lady Harborte , with all her youth and buttie , is deed of a spotted feuer , which is uery rife at London : _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA she is much lamented . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA M=r= Tressurer is taken in his rite hand with a ffitt of the ded palsie , as he was sitting down to supper . _@ LETTER:CORNWAL:E2:1634:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA I haue sente yo=r= La=e= a littill	BODY	PRAYER	WARFARE	OH INDIRECT	OH	CORNWAL_172	E2	1634.0	UNKNOWN	FAMILY_NUCLEAR	ELIZABETH_CORNWALLIS	FEMALE	DAUGHTER_IN_LAW	_	_	JANE/BACON[N.MEAUTYS]	FEMALE	MOTHER_IN_LAW	1581	53	CORNWAL	1630	180.0	GOD
5438	28017	god	CORNWAL_181	CORNWAL_180.989_989	, _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA but I shall laye it up in a thankful harte with yo=r= many other kindnesses . _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA But I hope my husband will be willing to give yo=r= La=p= any assurance that you pleas , _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and trewly , Madam , the more tie you have upon him and his estate the gladder I shall be , _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA for I veryly beleve it will be $best for him ; _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and I pray	God	give us all a happie meeting . _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA But when I think how troublesome I have been , and how unplesing company I must yet be to every body , I recall my wishes , _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and hope that God will give me that hapines when I shall be more capable of it then now I could , being so often ill : _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA but , Madam , if I do think of any thing that	BODY	PRAYER	MEETING	GOD	WRITER AND OH	CORNWAL_180	E2	1635.0	AUTOGRAPH	FAMILY_NUCLEAR	ELIZABETH_CORNWALLIS	FEMALE	DAUGHTER_IN_LAW	_	_	JANE/BACON[N.MEAUTYS]	FEMALE	MOTHER_IN_LAW	1581	55	CORNWAL	1630	180.0	GOD
5439	28018	god	CORNWAL_181	CORNWAL_180.1031_1031	trewly , Madam , the more tie you have upon him and his estate the gladder I shall be , _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA for I veryly beleve it will be $best for him ; _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and I pray God give us all a happie meeting . _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA But when I think how troublesome I have been , and how unplesing company I must yet be to every body , I recall my wishes , _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and hope that	God	will give me that hapines when I shall be more capable of it then now I could , being so often ill : _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA but , Madam , if I do think of any thing that my stomach will sarve me to eat , I will make such use of your kind favour , for which I humbly thank you=r= La=p= , that you shall be sure to hear of me . _@ LETTER:CORNWAL:E2:1636:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA My sister Jarvess and	BODY	PRAYER	DISEASE	WRITER	WRITER	CORNWAL_180	E2	1635.0	AUTOGRAPH	FAMILY_NUCLEAR	ELIZABETH_CORNWALLIS	FEMALE	DAUGHTER_IN_LAW	_	_	JANE/BACON[N.MEAUTYS]	FEMALE	MOTHER_IN_LAW	1581	55	CORNWAL	1630	180.0	GOD
5444	28023	god	CORNWAL_184	CORNWAL_182.1165_1165	my good Mother , I very much long to hear how you <P_289> do , and how you got home ; _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and so I hope I shall by him that carries this to London . _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA Truly , Madam , I am so much bound to you for your love and care of me and mine , as no creature is more ; _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA therfore all I can say is so littell . _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA But	God	rewarde you , _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA and I humbly besech God to bless us all with His saving grace , and to give us all a happie meeting . _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA Madam , Y=r= La=p 's= true affectionat daughter and humble sarvant , Eliza Cornwaleis . _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA Otlands , _@ LETTER:CORNWAL:E2:1637:AUTOGRAPH:FAMILY_OTHER_CODE_METADATA the 11 of Julye 1637 . 	BODY	PRAYER	SOCIAL	OH INDIRECT	ADDRESSEE	CORNWAL_182	E2	1636.0	AUTOGRAPH	FAMILY_NUCLEAR	ELIZABETH_CORNWALLIS	FEMALE	DAUGHTER_IN_LAW	_	_	JANE/BACON[N.MEAUTYS]	FEMALE	MOTHER_IN_LAW	1581	56	CORNWAL	1630	182.0	GOD
5512	28854	lord	CROMWEL_092	CROMWEL_092.573_573	any Suche matyer and your grace knowythe what manner of man throgmerton hathe euer bene euer towardes your grace and your procedinges and what Maister Chauncelor hathe bene towardes me god and he best knowyth I will ne Can accuse hym What I haue bene towardes hym your Magestye right well knowyth I woolde to Crist I hadde obbeyed your often most gracyous graue Counsayles and aduertysmenttes then it hadde not bene with me as now it ys Yet our	Lorde	yf it be his wille Can do with me as he dyde with Susan who was Falslye accusyd vnto the whiche god I haue onlye Commytted my Sowlle my bodye and goodes at your Magestyes pleasure in whos mercye and pyete I doo hollye Repose me For other hope then in god and your Magestye I haue not . Syr as to your Common welthe I haue after my wytt power and knowlege trauayled therin hauyng hadde no respect	BODY	DIVINE APPROVAL	POLITICS	0	0	CROMWEL_092	E1	1540.0	AUTOGRAPH	OTHER	THOMAS_CROMWELL	MALE	_	1485?	55?	HENRY_TUDOR_VIII	MALE	_	1491	49	CROMWEL	1540	92.0	LORD
5516	86221	god	PLUMPTO_116	PLUMPTO.164_164	come . Tomorrow begging thursday , I must of force ride to Tankerslay , viij miles hence , and mete my Lord of Shrewsburry , who will be thear tomorrow by ij of the clock , and se a showt at a stage , as my keper hath sent me wourd . And of monday , tewsday , and wedsday , theare is apoynted a great number of gentlemen to mette at cocxs at Sheifeild , whear I intend ,	God	willing , to be , and every night will ly at Tankerxlay ; soe it will be friday or I come to <P_251> Thornhill , which is the xviij {ED:xiiij} of May . Wherfore , I desire you either put of your commin , to that day , or take so much paine to come the vij myles to Tankerxlay , whear I have no lodging , but you shall have the best bed the keper haith ; and	BODY	DIVINE APPROVAL	TRAVEL	0	0	PLUMPTO	E1	1543.0	COPY	OTHER_CODE_METADATA	HENRY_SAVILL	MALE	_	_	_	WILLIAM_PLUMPTON_II	MALE	_	1485?	59?	PLUMPTO	1540		GOD
5524	21492	lord	BARRING_043	BARRING_043.120_120	againe . When you dare give us leave to think we are clear we shall be glad to se you . I thank God we hav had no more ill , the boye that had them went a brode againe within 2 or 3 dayes . The measels have bin in most placis abowte us , but thanks be to God I here of none that dye of them . It is a wonderfull thing to me to think the	lord	should lay his hand soe moderatly upon us in these times wherein we soe much increse in disobedenc to him , and wherin all sorts of sin soe much abowndeth ; but he is a God of longe suffering , yet he will be a consuming God allsoe to all such as sett lite by his smaller tryalls and be not broute neerer to him therby . I hope yet you will not forgett Hatfeeld ; the lord is	BODY	RESIGNATION	RELIGION	0	0	BARRING_043	E2	1629.0	AUTOGRAPH	FAMILY_NUCLEAR	ELIZABETH_MASHAM[N.BARRINGTON]	FEMALE	DAUGHTER	_	_	JOAN_BARRINGTON	FEMALE	MOTHER	1558?	71?	BARRING	1620	43.0	LORD
5754	21503	lord	BARRING_045	BARRING_045.93_93	, yet I am glad you have soe good an ocation to keep you as to se my sister layed . I hope now my brother Garard will say he is the cause of your not coming to Hatfeld . My husband had a good minde to have sent his coatch , tho you sent to the contrary . He was blamed for not sending it , soe desires are all to have you amonhst us againe ; but the	lord	knoweth what is best and therfor I desire to refer all to him , beseeching him to continue you in health both-1 of body and sole . I am much bownd to you for my husband , I know he will be fathful in his paying you againe . Thus with my humble duty , desiring to be remembred to my brother and sisters , I rest Your obedient daughter Elizabeth Masham I expect to here from my brother	BODY	RESIGNATION	TRAVEL	0	0	BARRING_045	E2	1629.0	AUTOGRAPH	FAMILY_NUCLEAR	ELIZABETH_MASHAM[N.BARRINGTON]	FEMALE	DAUGHTER	_	_	JOAN_BARRINGTON	FEMALE	MOTHER	1558?	71?	BARRING	1620	46.0	LORD
5766	36627	saint	PAGET_014	PAGET_014.1127_1127	you ( quoth I ) that Monsieur lambassadeur knowith , turning to Master Hobby , my lord protectour nor none of the pryvey counsaill medle with no priuate mater whose soeuer it be but only with maters of estate , leaving all other thinges to their ordinary course of justice , except that only many tymes to gratefie your ambassadour and to shewe himself glad to nourishe this amite troubleth himself with the complaintes of your subgetes which ( by	Saint	Mary ) by myn aduise he shall do no more seing it is so litle consydred but shall referre them to the commyn justice . Wheder is that ( quoth he ) ? To the admiralte ( quoth I ) . Mary , a goodly justice , quoth he , for so shall the poore mans cause be tried before his aduersarye . And why not tryed in our admiralte ( quoth I ) aswell as in yours .	BODY	DIVINE APPROVAL	INTENTION	0	0	PAGET_014	E1	1549.0	COPY	OTHER	WILLIAM_PAGET	MALE	_	1505	44	EDWARD_SEYMOUR	MALE	_	1500?	49?	PAGET	1540	14.0	SAINT
5784	36653	god	PAGET_020	PAGET_020.227_227	parte I will do as $shall $be and because he hath a good while syrued an evell master , and one that could not do so muche for him as his desire was , I haue putt him to a bettre that is to the kinges maieste , who hath accepted him , and is sworne squyer for the body . I praye God sende him as well to do as I woolde myn own soonne , and as for	God	will to do him good , there shall not want in me whereof he maye be assured . Thus hartely I bidde your Lordship fare well from Hamptoncourte the iiird of Octobre 1549 . Your lordships most assured to my power William Paget 	BODY	DIVINE APPROVAL	SOCIAL	0	0	PAGET_020	E1	1549.0	COPY	OTHER	WILLIAM_PAGET	MALE	_	1505	44	GEORGE_BROOKE	MALE	_	1497?	52?	PAGET	1540	20.0	GOD
5788	28371	god	COSIN_059	COSIN_059.314_314	for him , and I have ordered my receyvour to lend money for the plowing and sowing of his glebe . In the meanewhile the Church and the parishioners want a good minister to take care of them , and mervayle that all this time of vacancie they should not heare from Dr. Herbert , who hath bin recommended to them by , Your assured and affectionate friend , Jo. Duresme . Doncaster , Oct , 25 , 1661 .	God	send my daughter a good houre . Where she or her husband or Sir Gilbert is I know not , nor the addresse I am to make unto your lodging , and therefore I write to you by Mr. Garthwait . For Mr. William Sandcroft at his lodgings in London . Leave this with Mr. Timothy Gartwaite , Stationer , next the little doore north of St. Paul 's church in London To be speedyly delivered . 	BODY	PRAYER	SOCIAL	GOD	OH	COSIN_059	E3	1661.0	AUTOGRAPH	OTHER	JOHN_COSIN	MALE	_	1595	66	WILLIAM_SANDCROFT	MALE	_	_	_	COSIN	1660	59.0	GOD
5907	28497	god	COSIN_080	COSIN_080.1058_1058	in King Edward the 6=th= 's time , or at the beginning of Queen Mary and Queen Elizabeth , out of the old Treasurers' books belonging to that time , wee may have some further lyght by them , and either M=r=. Bullock , or M=r=. Hedley , or Robert King , can direct you to get the sight of them , if any such be still extant and remaining since the last rapine of the plunderers ; from which	God	deliver us all hereafter . Concerning the Schooles , besides what I said before , I added , that it would be a very hard thing for the Deane and Chapter to endeavour to take away M=r=. Nicholl 's stipend , who was a diligent painfull man , and one of their own body , collated by me to it , and taking paines in his place ; all which was in effect to rob Peter and pay Paul	BODY	PRAYER	POLITICS	GOD	WRITER AND OH	COSIN_080	E3	1668.0	UNKNOWN	OTHER	JOHN_COSIN	MALE	_	1595	73	MILES_STAPYLTON	MALE	_	_	_	COSIN	1660	81.0	GOD
5936	23857	god	BENTHAM_001	BENTHAM_001.21_21	In most humble & obedient wyse suethe unto your highnes your poore & dayly orator Thomas , by the permission of	God	and your graces collation bysshoppe of Coventry & Lichfield , That where as your graces highnes haith bestowed upon your said suppliant the afore named bysshopprike and he at the takynge upon hym the said offyce of ministerye , beynge a man of poore aestate & callynge , and sence that tyme put to suche greate charges as well extraordinary as ordinarye whiche then he is not able to susteane & beare , and last of all nowe fyndyng	BODY	DIVINE APPROVAL	POLITICS	0	0	BENTHAM_001	E1	1560.0	COPY	OTHER	THOMAS_BENTHAM	MALE	_	1513	47	ELIZABETH_TUDOR	FEMALE	_	1533	27	BENTHAM	1560	1.0	GOD
5960	21540	lord	BARRING_054	BARRING_054.135_135	send a letter saife . It would much rejoyce me to here of your good health this winter , which I much disire and praye for . I thank God I and my children are well . We have no good newes hear , but ill ; Mr Beard is gone from us and we are left in a petifull condition and may well say with Johoshaphat , we know not what to doe but our eyes are upon the	lord	, for the means that we have is very pore and we have litel hope of any other . Thus desiringe your praers for us I ever remaine Your most obeydient dauther Johan Everarde November , 1629 My father and mother remember ther service unto you and all your good companye these 	BODY	RESIGNATION	DISEASE	0	0	BARRING_054	E2	1629.0	AUTOGRAPH	FAMILY_NUCLEAR	JOAN_EVERARD[N.BARRINGTON]	FEMALE	DAUGHTER	_	_	JOAN_BARRINGTON	FEMALE	MOTHER	1558?	71?	BARRING	1620	54.0	LORD
5989	28582	lord	CROMWEL_020	CROMWEL_020.43_43	$Pleasyth $yt {TEXT:Pleasythyt} your most Royall Mageste to be aduertysyd how that according to your most highe pleasure and commaundement I haue made serche for suche patenttes and grauntys as your highnes and also the most Famous kyng your father whos Sowle our	lorde	pardon haue grauntyd vnto sir Rychard Weston knyght your vndertesawrer of your exchequer and the same haue sent to your highnes herin closyd yt may also please your most Royall Mageste to knowe how that yesterdaye ther passyd your Commons a byll that no person within this your Realme shall herafter kepe and Noryshe aboue the Nombre of twoo thousand shepe and also that the eight parte of euerye mans lande being a Fermour shall for euer herafter be	BODY	PRAYER	DEATH	GOD	OH	CROMWEL_020	E1	1534.0	AUTOGRAPH	OTHER	THOMAS_CROMWELL	MALE	_	1485?	49?	HENRY_TUDOR_VIII	MALE	_	1491	43	CROMWEL	1530	20.0	LORD
6004	30975	god	HART_001	HART_001.366_366	so will I not fayle to be ready at your commaundment , and wold think my self happie to be imployed therein , in whatsoeuer condicion yt mought please your honour to appoint me . Further for that of long time I haue accompted your honour my especiall good master , I think yt my duetie to declare vnto you , a great mischaunce which happened to me in London , on Easter monedaye last at nyght ; wherein by	Godes	grace I escaped the furiouse assault , of a notable evill liuer and felon ( as I wold to God your honour vnderstoode so amplie as doth the L. mayor and the worshipfull of the Citie ) who having immediatlye before taken a Juell from a childes neck was cried after to stoppe the theef , the pursuers declaring the cause , and no man else in the street but he and I . Whereon I stept to him	BODY	DIVINE APPROVAL	SOCIAL	0	0	HART_001	E1	1561.0	AUTOGRAPH	OTHER	JOHN_HART	MALE	_	1501?	60?	WILLIAM_CECIL	MALE	_	1520	41	HART	1560	1.0	GOD
6085	28686	god	CROMWEL_048	CROMWEL_048.564_564	by the next Nevertheles for all the hast I wold not omitte to aduertise you that som your seruauntes here be called and named common stellers of the kinges hawkes I wold there shal $be geven warnyng that they shal leave suche prankes and that ye $will $be {TEXT:wolbe} no mayntener of such vnlawfull felowes of light disposition , and write vnto them ernestly . I thinke no nede to write of the Kinges and Quenes graces veray prosperouse disposition	god	contynue it as I trust for a grete many yeres . Thus Fare ye right hertely well From Stepeney this viij=th= of July xv=c=xxxvii Your louyng Freend Thomas Crumwell . Ambassadour Resident in Themperours $Courte 	BODY	PRAYER	SOCIAL	GOD	OH	CROMWEL_048	E1	1537.0	AUTOGRAPH	OTHER	THOMAS_CROMWELL	MALE	_	1485?	52?	THOMAS_WYATT_SR	MALE	_	1503	34	CROMWEL	1530	49.0	GOD
6162	85971	god	PLUMPTO_055	PLUMPTO_055.301_301	that is of counsell and fee with Master Hemson , and a companyon of myne , how that Kyng Richard , in his most best tyme , and the first yere of his reigne , having you not in the favor of his grace , but utterly against you , caused them to have a parte of your lands by his award and ryall power , contrary to your agrement and all right conscience ; the which I trust to	God	$will $be Sir , ye have many good frinds and servants , and moe , with Gods grace , shall have ; this is the matter I thinke no dout yn . Ye have a great treasour of Mr. Gascoyne . If ther be any service your mastership wyll comand me , yt $shall $be who preserve you . Written in Furnyvalls Inne , the iij day of Feb. 1496 . Your humble servant , Ed: Plompton . 	BODY	CONFIDENCE	POLITICS	0	0	PLUMPTO_055	M4	1497.0	COPY	FAMILY_OTHER	EDWARD_PLUMPTON	MALE	KIN	_	_	ROBERT_PLUMPTON_I	MALE	KIN	1453	44	PLUMPTO	1490	55.0	GOD
6236	28844	god	CROMWEL_092	CROMWEL_092.208_208	your Magestye and moche lesse to doo or saye that thing which of hit Selff is so highe and abhomynable offence as god knowyth who I dowt not Shall reueale the trewthe to your Highnes . myne accusers your grace knowyth god Forgyve them . For as I euer haue hade loue to your Honour person lyffe prosperyte helthe welthe Joye and Comforte and also your most dere and most entyerly belouyd Son the Prynce his grace and your procedinges	god	so helpe me in this myne aduersyte , and Conffound me yf euer I thought the Contrarye . What labours paynes and <P_II,265> trauayles I haue taken according to my most bounden deutye god also knowyth , for yf it were in my power as yt is goddes to make your Magestye to lyue euer yong and prosperous god knoweth I woolde yf it hadde bene or were in my power to make you so riche as ye myght	BODY	PRAYER	POLITICS	OH INDIRECT	WRITER	CROMWEL_092	E1	1540.0	AUTOGRAPH	OTHER	THOMAS_CROMWELL	MALE	_	1485?	55?	HENRY_TUDOR_VIII	MALE	_	1491	49	CROMWEL	1540	92.0	GOD
6240	349	god	BACON_048	BACON_048.673_673	mak all the shifte that we can to save them . I pray yow if yow can be so goode ase to helpe us with youre course at Cocthorpe a while {ED:a_while_INSERTED} for yt is mutch warmar and {ED:SIC} oure is , for if yow do nott I doute there $will $be {TEXT:wilbe} a marvelus lose amongste the shepe be reson that ther is smalle barrow uppon the grounde . Your worship shall further undarstand that by the grace of	God	at the next winde I have a ship shall go over into Flanders & I have apoynted one to go with hur , because I $can $not Hollond clothes , & I trust in God aboute the tyme that your corte $shall $be & then yow <P_I,67> shall see all the cloethes that they shall bring and the booke how they ware bought , & yow shall take of them what yow please into the price that thei are	BODY	DIVINE APPROVAL	TRANSPORT	0	0	BACON_048	E2	1573.0	AUTOGRAPH	FAMILY_SERVANT	JOHN_MOUNFORD	MALE	FAMILY_SERVANT/BAILIFF	_	_	NATHANIEL_BACON_I	MALE	_	1546?	27?	BACON	1570	48.0	GOD
6246	31001	god	HARVEY_002	HARVEY_002.649_649	quietnes ; that thei seek al occasions of quarreling ; and other the like things , whitch you know to be veri tru , and mai honestly report . But I wil commit al sutch matters to your own consideration . And as for mi cumming to Cambridg , althouh I think it better for mi harts ease to continu at Walden stil , yit I wil do as you wil me , and I wil se Pembrook hal ,	God	willing , ere it be long . In the meane while I commit you to the protection of God . In hast . 	BODY	DIVINE APPROVAL	TRAVEL	0	0	HARVEY_002	E2	1573.0	AUTOGRAPH	OTHER	GABRIEL_HARVEY	MALE	_	1545?	28?	HUMPHREY_TYNDALE	MALE	_	_	_	HARVEY	1570	2.0	GOD
6292	28900	almighty	CROMWEL_093	CROMWEL_093.2116_2116	now of late Sethens wytsontyde , and I dowt not but manye and dyuers of my lordes of your Counsayll bothe beffore your mariage and Sethens haue Right well persayvyd that your magestye hathe not ben well pleasyd with your mariage , and as I shall answer to god I neuer thought your grace content after ye hadde ons Sene her at Rochester , and this is all that I know most gracyous and most mercyffull Souerayng lorde , beseching	almightye	god who euer in all your Causes hathe euer Counsaylyd preservyd oppenyd mayntayned relevyd and deffendyd your highnes so he now will witsave to Cownsayle yow preserue yow maynteyn yow remedye yow releve and deffend yow as may be most to your honor welthe prosperytye helthe and Comffort of your hertys desyre For the whiche , and For the long lyffe & prosperouse reighne of {TEXT:of} am here praye to almyghtye god that he of his most haboundant goodnes	BODY	PRAYER	POLITICS	GOD	ADDRESSEE	CROMWEL_093	E1	1540.0	AUTOGRAPH	OTHER	THOMAS_CROMWELL	MALE	_	1485?	55?	HENRY_TUDOR_VIII	MALE	_	1491	49	CROMWEL	1540	93.0	ALMIGHTY
6294	28902	god	CROMWEL_093	CROMWEL_093.2188_2188	gracyous and most mercyffull Souerayng lorde , beseching almightye god who euer in all your Causes hathe euer Counsaylyd preservyd oppenyd mayntayned relevyd and deffendyd your highnes so he now will witsave to Cownsayle yow preserue yow maynteyn yow remedye yow releve and deffend yow as may be most to your honor welthe prosperytye helthe and Comffort of your hertys desyre For the whiche , and For the long lyffe & prosperouse reighne of {TEXT:of} am here praye to almyghtye	god	that he of his most haboundant goodnes , will help ayde and Comffort yow and after your Contenewaunce of Nestors yeres that that most noble Impe the prynces grace your most dere Sone may succede yow to reighne long prosperouslye and Felycyouslye to goddes plesure , besechyng most humblye your grace to pardon this my Rude wryting , and to consyder that I am a most wooffull prysoner redye to take the dethe when it Shall please god and	BODY	PRAYER	SOCIAL	GOD	ADDRESSEE	CROMWEL_093	E1	1540.0	AUTOGRAPH	OTHER	THOMAS_CROMWELL	MALE	_	1485?	55?	HENRY_TUDOR_VIII	MALE	_	1491	49	CROMWEL	1540	93.0	GOD
6330	86014	god	PLUMPTO_065	PLUMPTO_065.252_252	doe therin as much as lyeth in my power , that your mastership may have knowledg therof . If ther be any such wryt made , yt must be in Porters office , and he hath promysed me that ther shall none passe , but he shall give me knowledg therof ; and if ther come any Inquisicio virtute officii , it must come into the office , wherat Mr. Deene is dayly : wherfore , I trust to <P_146>	God	that your mastership shall have knowledg , if any such things fortune . They have made search in the Escheker for the perdon that was pledet , suppose the title had bene made therin as here to Sir William , and when they saw that it was by feffment , they were not well content . The names that are in the byll for to be schereff ;  and Sir W. Griffith . Sir Humfrey Stanley labors to	BODY	CONFIDENCE	POLITICS	0	0	PLUMPTO_065	E1	1500.0	COPY	OTHER	GEORGE_EMERSON	MALE	_	_	_	ROBERT_PLUMPTON_I	MALE	_	1453	47	PLUMPTO	1500	65.0	GOD
6425	21711	lord	BARRING_094	BARRING_094.94_94	desires , that my daughter should be well bestowed , but in these partes good and fitt matches are soe rare as that itt makes me hopeless to bestow her neere me . If any may be herd of about yow , the first that comes ( having yowr approbation ) I should be unwilling to refuse , fearing the longer she staies , the harder itt will be to preferr her . Yet I know that itt is the	lord	that disposeth all things , and when he sees itt fitt will doe that which is best . I intend God willing to be with yow ere long , att which time I shall further impart my self . Good madam , give Jack som good councell , and God of his infinite mercy mak him to receive itt effectually . $It $'s {TEXT:$Itt's} late and therefore I must bid yow good night . The lord of heaven preferre	BODY	RESIGNATION	MARRIAGE	0	0	BARRING_094	E2	1630.0	AUTOGRAPH	FAMILY_OTHER	WILLIAM_MEUX	MALE	SON_IN_LAW	_	_	JOAN_BARRINGTON	FEMALE	MOTHER_IN_LAW	1558?	72?	BARRING	1630	94.0	LORD
6496	29106	god	DUPPA_025	DUPPA_025.865_865	you should read them all ; and would send you the book , but that I know it is no hard thing for you to gett it . For your being a young house-keeper I shall take the less pity of you ; first because you have sufficient materialls to work upon , and next if the work be uneasy to you , you $can $not {TEXT:cannot} want choice of helpers . My business onely is to pray heartily that	God	may direct you in your choice , for as your happiness will consist much in it , so neither can I be unconcerned in it , who have now little happiness left else what I shall see you enjoy . For Sir I am without any designs upon you , Your most tru freind and humble servant , Br: S . July 	BODY	PRAYER	SOCIAL	ADDRESSEE	ADDRESSEE	DUPPA_025	E3	1651.0	AUTOGRAPH	FRIEND	BRIAN_DUPPA	MALE	FRIEND	1589	62	JUSTINIAN_ISHAM	MALE	FRIEND	1611	40	DUPPA	1650	26.0	GOD
6519	29129	lord	DUPPA_033	DUPPA_033.153_153	your Lordship 's good opinion of her because my choice . Only leave you in suspension till I may make her known to you , and I believe then occasion a better beliefe of me A treasure certainly in the best tymes , but in these so much the more to be valued by how much they are worse ; where $'t $is {TEXT:'tis} hard even to meet with one without some tokens of the generall contagion . Now ,	Lord	have mercy upon us . 	BODY	PRAYER	EPIDEMICS	GOD	WRITER AND ADDRESSEE	DUPPA_033	E3	1653.0	AUTOGRAPH	FRIEND	JUSTINIAN_ISHAM	MALE	FRIEND	1611	42	BRIAN_DUPPA	MALE	FRIEND	1589	64	DUPPA	1650	35.0	LORD
